iterations:4560.0 loss:3.16342
iterations:4570.0 loss:3.47663
iterations:4580.0 loss:3.04542
iterations:4590.0 loss:3.38183
iterations:4600.0 loss:3.4469
iterations:4610.0 loss:3.43385
iterations:4620.0 loss:3.16131
iterations:4630.0 loss:3.50592
iterations:4640.0 loss:3.36449
iterations:4650.0 loss:3.43953
iterations:4660.0 loss:3.4848
iterations:4670.0 loss:3.26953
iterations:4680.0 loss:3.55062
iterations:4690.0 loss:3.58589
iterations:4700.0 loss:3.49538
iterations:4710.0 loss:3.38607
iterations:4720.0 loss:3.60893
iterations:4730.0 loss:3.21152
iterations:4740.0 loss:3.49291
iterations:4750.0 loss:3.15987
iterations:4760.0 loss:3.5863
iterations:4770.0 loss:3.33905
iterations:4780.0 loss:3.30779
iterations:4790.0 loss:3.30254
iterations:4800.0 loss:3.38881
iterations:4810.0 loss:3.31699
iterations:4820.0 loss:3.46328
iterations:4830.0 loss:3.46959
iterations:4840.0 loss:3.68907
iterations:4850.0 loss:3.43425
iterations:4860.0 loss:3.66939
iterations:4870.0 loss:3.08602
iterations:4880.0 loss:3.08094
iterations:4890.0 loss:3.65666
iterations:4900.0 loss:3.45994
iterations:4910.0 loss:3.06623
iterations:4920.0 loss:3.26295
iterations:4930.0 loss:3.1266
iterations:4940.0 loss:3.26663
iterations:4950.0 loss:3.65241
iterations:4960.0 loss:3.55171
iterations:4970.0 loss:3.49284
iterations:4980.0 loss:3.4694
iterations:4990.0 loss:3.36928
iterations:5000.0 loss:3.33313
iterations:5010.0 loss:3.34868
iterations:5020.0 loss:3.49859
iterations:5030.0 loss:3.28956
iterations:5040.0 loss:3.32802
iterations:5050.0 loss:3.43285
iterations:5060.0 loss:3.13505
iterations:5070.0 loss:3.4041
iterations:5080.0 loss:3.32584
iterations:5090.0 loss:3.29122
iterations:5100.0 loss:3.20328
iterations:5110.0 loss:3.48806
iterations:5120.0 loss:3.4624
iterations:5130.0 loss:3.43837
iterations:5140.0 loss:3.55907
iterations:5150.0 loss:3.28901
iterations:5160.0 loss:3.1896
iterations:5170.0 loss:3.24882
iterations:5180.0 loss:3.48287
iterations:5190.0 loss:3.19625
iterations:5200.0 loss:3.59476
iterations:5210.0 loss:3.48565
iterations:5220.0 loss:3.32174
iterations:5230.0 loss:3.6043
iterations:5240.0 loss:3.46841
iterations:5250.0 loss:3.73396
iterations:5260.0 loss:3.31607
iterations:5270.0 loss:3.46965
iterations:5280.0 loss:3.41068
iterations:5290.0 loss:3.54623
iterations:5300.0 loss:3.52004
iterations:5310.0 loss:3.52409
iterations:5320.0 loss:3.02311
iterations:5330.0 loss:3.05184
iterations:5340.0 loss:3.52843
iterations:5350.0 loss:3.22431
iterations:5360.0 loss:3.70399
iterations:5370.0 loss:3.61345
iterations:5380.0 loss:3.42481
iterations:5390.0 loss:3.29998
iterations:5400.0 loss:3.35685
iterations:5410.0 loss:3.30163
iterations:5420.0 loss:3.59591
iterations:5430.0 loss:3.27077
iterations:5440.0 loss:3.63607
